cross_pair,d0_cross,d0_same,abs_diff
block_cont_r12__lead_nec_r4,0.385097,0.384711,0.000386
block_cont_r12__lead_nec_r5,0.369943,0.370182,0.000239
block_cont_r12__lead_nec_r6,0.390986,0.391344,0.000358
block_cont_r12__lead_nec_r7,0.387627,0.388017,0.00039
block_cont_r12__lead_nec_r8,0.373183,0.373275,9.2e-05
block_cont_r12__lead_nec_r9,0.378532,0.378423,0.000109
block_cont_r12__lead_opt_r1,0.37876,0.379002,0.000242
block_cont_r12__lead_opt_r10,0.365466,0.365571,0.000105
block_cont_r12__lead_opt_r11,0.405148,0.404978,0.00017
block_cont_r12__lead_opt_r12,0.393121,0.392826,0.000295
block_cont_r12__lead_opt_r2,0.395255,0.395117,0.000138
block_cont_r12__lead_opt_r3,0.368283,0.368336,5.3e-05
block_cont_r12__lead_opt_r4,0.392988,0.392826,0.000162
block_cont_r12__lead_opt_r5,0.363528,0.363589,6.1e-05
block_cont_r12__lead_opt_r6,0.375554,0.375294,0.00026
block_cont_r12__lead_opt_r7,0.367165,0.367193,2.8e-05
block_cont_r12__lead_opt_r8,0.357906,0.357806,0.0001
block_cont_r12__lead_opt_r9,0.36359,0.363589,1e-06
block_cont_r2__cross_clear_r1,0.339799,0.339956,0.000157
block_cont_r2__cross_clear_r10,0.139058,0.138969,8.9e-05
block_cont_r2__cross_clear_r11,0.366724,0.366843,0.000119
block_cont_r2__cross_clear_r12,0.212872,0.213251,0.000379
block_cont_r2__cross_clear_r2,0.307198,0.307344,0.000146
block_cont_r2__cross_clear_r3,0.392675,0.392743,6.8e-05
block_cont_r2__cross_clear_r4,0.350112,0.350117,5e-06
block_cont_r2__cross_clear_r5,0.320354,0.320267,8.7e-05
block_cont_r2__cross_clear_r6,0.210844,0.211056,0.000212
block_cont_r2__cross_clear_r7,0.366271,0.365795,0.000476
block_cont_r2__cross_clear_r8,0.300169,0.300478,0.000309
block_cont_r2__cross_clear_r9,0.286372,0.286361,1.1e-05
block_cont_r2__cross_stall_occ_r1,0.028455,0.028335,0.00012
block_cont_r2__cross_stall_occ_r10,0.075696,0.075576,0.00012
block_cont_r2__cross_stall_occ_r11,0.01762,0.01762,0.0
block_cont_r2__cross_stall_occ_r12,0.054706,0.054689,1.7e-05
block_cont_r2__cross_stall_occ_r2,0.042261,0.042156,0.000105
block_cont_r2__cross_stall_occ_r3,0.06419,0.064194,4e-06
block_cont_r2__cross_stall_occ_r4,0.1041,0.10403,7e-05
block_cont_r2__cross_stall_occ_r5,0.043951,0.043934,1.7e-05
block_cont_r2__cross_stall_occ_r6,0.053879,0.053828,5.1e-05
block_cont_r2__cross_stall_occ_r7,0.032426,0.032792,0.000366
block_cont_r2__cross_stall_occ_r8,0.03883,0.038678,0.000152
block_cont_r2__cross_stall_occ_r9,0.048299,0.048118,0.000181
block_cont_r2__cross_stall_r1,0.36082,0.360787,3.3e-05
block_cont_r2__cross_stall_r10,0.356184,0.356102,8.2e-05
block_cont_r2__cross_stall_r11,0.342969,0.342959,1e-05
block_cont_r2__cross_stall_r12,0.349472,0.349404,6.8e-05
block_cont_r2__cross_stall_r2,0.370867,0.371176,0.000309
block_cont_r2__cross_stall_r3,0.346698,0.346711,1.3e-05
block_cont_r2__cross_stall_r4,0.359885,0.359565,0.00032
block_cont_r2__cross_stall_r5,0.326594,0.326574,2e-05
block_cont_r2__cross_stall_r6,0.353418,0.353431,1.3e-05
block_cont_r2__cross_stall_r7,0.356528,0.356495,3.3e-05
block_cont_r2__cross_stall_r8,0.367198,0.367193,5e-06
block_cont_r2__cross_stall_r9,0.344595,0.344594,1e-06
block_cont_r2__lead_cont_r1,0.041198,0.041159,3.9e-05
block_cont_r2__lead_cont_r10,0.097514,0.0975,1.4e-05
block_cont_r2__lead_cont_r11,0.092528,0.092517,1.1e-05
block_cont_r2__lead_cont_r12,0.075536,0.075576,4e-05
block_cont_r2__lead_cont_r2,0.065261,0.065298,3.7e-05
block_cont_r2__lead_cont_r3,0.094366,0.094653,0.000287
block_cont_r2__lead_cont_r4,0.119531,0.119695,0.000164
block_cont_r2__lead_cont_r5,0.080051,0.079892,0.000159
block_cont_r2__lead_cont_r6,0.096059,0.095962,9.7e-05
block_cont_r2__lead_cont_r7,0.075709,0.075576,0.000133
block_cont_r2__lead_cont_r8,0.096969,0.097053,8.4e-05
block_cont_r2__lead_cont_r9,0.085141,0.085051,9e-05
block_cont_r2__lead_nec_r1,0.378725,0.379002,0.000277
block_cont_r2__lead_nec_r10,0.386911,0.388017,0.001106
block_cont_r2__lead_nec_r11,0.383122,0.38302,0.000102
block_cont_r2__lead_nec_r12,0.40059,0.402049,0.001459
block_cont_r2__lead_nec_r2,0.402793,0.403087,0.000294
block_cont_r2__lead_nec_r3,0.384968,0.384711,0.000257
block_cont_r2__lead_nec_r4,0.398233,0.397989,0.000244
block_cont_r2__lead_nec_r5,0.383079,0.38302,5.9e-05
block_cont_r2__lead_nec_r6,0.404122,0.404067,5.5e-05
