pair_id,pair_type,state_i,state_j,probe_action,d0_mean,d1_action,feasibility_agree,both_valid,both_infeasible,one_valid
c1_block_cont_01__c1_cross_stall_occ_07,cross,c1_block_cont_01,c1_cross_stall_occ_07,U2,0.088584,0.101979,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_07,cross,c1_block_cont_01,c1_cross_stall_occ_07,U3,0.088584,0.116715,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_07,cross,c1_block_cont_01,c1_cross_stall_occ_07,U4,0.088584,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_07,cross,c1_block_cont_01,c1_cross_stall_occ_07,U5,0.088584,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_07,cross,c1_block_cont_01,c1_cross_stall_occ_07,U6,0.088584,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_07,cross,c1_block_cont_01,c1_cross_stall_occ_07,U7,0.088584,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_08,cross,c1_block_cont_01,c1_cross_stall_occ_08,U0,0.112514,0.085744,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_08,cross,c1_block_cont_01,c1_cross_stall_occ_08,U1,0.112514,0.094336,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_08,cross,c1_block_cont_01,c1_cross_stall_occ_08,U2,0.112514,0.112563,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_08,cross,c1_block_cont_01,c1_cross_stall_occ_08,U3,0.112514,0.115266,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_08,cross,c1_block_cont_01,c1_cross_stall_occ_08,U4,0.112514,0.045798,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_08,cross,c1_block_cont_01,c1_cross_stall_occ_08,U5,0.112514,0.010857,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_08,cross,c1_block_cont_01,c1_cross_stall_occ_08,U6,0.112514,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_08,cross,c1_block_cont_01,c1_cross_stall_occ_08,U7,0.112514,0.0,1,1,0,0
c1_block_cont_01__c1_lead_cont_01,cross,c1_block_cont_01,c1_lead_cont_01,U0,0.062867,0.051324,1,1,0,0
c1_block_cont_01__c1_lead_cont_01,cross,c1_block_cont_01,c1_lead_cont_01,U1,0.062867,0.059202,1,1,0,0
c1_block_cont_01__c1_lead_cont_01,cross,c1_block_cont_01,c1_lead_cont_01,U2,0.062867,0.066383,1,1,0,0
c1_block_cont_01__c1_lead_cont_01,cross,c1_block_cont_01,c1_lead_cont_01,U3,0.062867,0.074745,1,1,0,0
c1_block_cont_01__c1_lead_cont_01,cross,c1_block_cont_01,c1_lead_cont_01,U4,0.062867,0.0,1,1,0,0
c1_block_cont_01__c1_lead_cont_01,cross,c1_block_cont_01,c1_lead_cont_01,U5,0.062867,0.0,1,1,0,0
c1_block_cont_01__c1_lead_cont_01,cross,c1_block_cont_01,c1_lead_cont_01,U6,0.062867,0.0,1,1,0,0
c1_block_cont_01__c1_lead_cont_01,cross,c1_block_cont_01,c1_lead_cont_01,U7,0.062867,0.0,1,1,0,0
c1_block_cont_01__c1_lead_cont_02,cross,c1_block_cont_01,c1_lead_cont_02,U0,0.091372,0.072798,1,1,0,0
